,Latitude,Lat,Longitude,Lon,Altitude,CommandTX
0,3511.760010,b'N',8607.298828,b'W',253.1,0
1,3511.760010,b'N',8607.298828,b'W',253.1,0
2,3511.760254,b'N',8607.298828,b'W',253.2,0
3,3511.760010,b'N',8607.298828,b'W',253.1,0
4,3511.760010,b'N',8607.298828,b'W',253.1,0
5,3511.760010,b'N',8607.298828,b'W',253.1,0
6,3511.760010,b'N',8607.298828,b'W',253.1,0
7,3511.760010,b'N',8607.298828,b'W',253.2,0
8,3511.759766,b'N',8607.298828,b'W',253.2,0
9,3511.759521,b'N',8607.298828,b'W',253.2,0
10,3511.759033,b'N',8607.298828,b'W',253.2,0
11,3511.759277,b'N',8607.298828,b'W',253.2,0
12,3511.759277,b'N',8607.298828,b'W',253.2,0
13,3511.759277,b'N',8607.298828,b'W',253.2,0
14,3511.759766,b'N',8607.298828,b'W',253.2,0
15,3511.759766,b'N',8607.298828,b'W',253.2,0
16,3511.759766,b'N',8607.298828,b'W',253.2,0
17,3511.760010,b'N',8607.298828,b'W',253.2,0
18,3511.760010,b'N',8607.298828,b'W',253.2,0
19,3511.760010,b'N',8607.298828,b'W',253.2,0
20,3511.760498,b'N',8607.298828,b'W',253.3,0
21,3511.760742,b'N',8607.298828,b'W',253.3,0
22,3511.760742,b'N',8607.298828,b'W',253.3,0
23,3511.760498,b'N',8607.298828,b'W',253.3,0
24,3511.760254,b'N',8607.298828,b'W',253.3,0
25,3511.760010,b'N',8607.298828,b'W',253.3,0
26,3511.760010,b'N',8607.298828,b'W',253.3,0
27,3511.760010,b'N',8607.298828,b'W',253.4,0
28,3511.760010,b'N',8607.298828,b'W',253.4,0
29,3511.760254,b'N',8607.298828,b'W',253.4,0
30,3511.760254,b'N',8607.298828,b'W',253.4,0
31,3511.760254,b'N',8607.298828,b'W',253.4,0
32,3511.760254,b'N',8607.298828,b'W',253.4,1
33,3511.760010,b'N',8607.298828,b'W',253.4,1
34,3511.760254,b'N',8607.298828,b'W',253.4,0
35,3511.760254,b'N',8607.298828,b'W',253.5,0
36,3511.760254,b'N',8607.298828,b'W',253.5,0
37,3511.760254,b'N',8607.298828,b'W',253.5,0
38,3511.760498,b'N',8607.298828,b'W',253.5,0
39,3511.760498,b'N',8607.298828,b'W',253.5,0
40,3511.760498,b'N',8607.298828,b'W',253.5,0
41,3511.760742,b'N',8607.298828,b'W',253.6,2
42,3511.760742,b'N',8607.298828,b'W',253.6,2
43,3511.760986,b'N',8607.298828,b'W',253.6,0
44,3511.760986,b'N',8607.298828,b'W',253.6,0
45,3511.760986,b'N',8607.298828,b'W',253.6,0
46,3511.760986,b'N',8607.298828,b'W',253.6,0
47,3511.761230,b'N',8607.297852,b'W',253.6,0
48,3511.761719,b'N',8607.298828,b'W',253.6,0
49,3511.761719,b'N',8607.298828,b'W',253.6,0
50,3511.761963,b'N',8607.297852,b'W',253.5,0
51,3511.761963,b'N',8607.298828,b'W',253.5,3
52,3511.762207,b'N',8607.298828,b'W',253.5,0
53,3511.762939,b'N',8607.298828,b'W',253.5,0
54,3511.762939,b'N',8607.298828,b'W',253.5,0
55,3511.763428,b'N',8607.298828,b'W',253.5,0
56,3511.763428,b'N',8607.297852,b'W',253.6,0
57,3511.763184,b'N',8607.297852,b'W',253.6,0
58,3511.762939,b'N',8607.298828,b'W',253.6,0
59,3511.762695,b'N',8607.298828,b'W',253.6,0
60,3511.762939,b'N',8607.298828,b'W',253.6,0
61,3511.763184,b'N',8607.298828,b'W',253.7,0
62,3511.763672,b'N',8607.298828,b'W',253.7,0
63,3511.763916,b'N',8607.298828,b'W',253.7,0
64,3511.763672,b'N',8607.298828,b'W',253.6,0
65,3511.763428,b'N',8607.298828,b'W',253.6,0
66,3511.763184,b'N',8607.298828,b'W',253.6,0
67,3511.763184,b'N',8607.298828,b'W',253.6,0
68,3511.762939,b'N',8607.298828,b'W',253.6,0
69,3511.762695,b'N',8607.298828,b'W',253.5,0
70,3511.762695,b'N',8607.298828,b'W',253.5,0
71,3511.762207,b'N',8607.297852,b'W',253.5,0
72,3511.762207,b'N',8607.297852,b'W',253.6,0
73,3511.761719,b'N',8607.297852,b'W',253.5,0
74,3511.760742,b'N',8607.298828,b'W',253.6,0
75,3511.760498,b'N',8607.298828,b'W',253.5,0
76,3511.760010,b'N',8607.298828,b'W',253.5,0
77,3511.759521,b'N',8607.298828,b'W',253.6,0
78,3511.759277,b'N',8607.298828,b'W',253.6,0
79,3511.758789,b'N',8607.298828,b'W',253.6,0
80,3511.758057,b'N',8607.298828,b'W',253.6,0
81,3511.757813,b'N',8607.298828,b'W',253.5,0
82,3511.757568,b'N',8607.298828,b'W',253.6,0
83,3511.757080,b'N',8607.298828,b'W',253.6,0
84,3511.756592,b'N',8607.298828,b'W',253.6,0
85,3511.756348,b'N',8607.298828,b'W',253.7,0
86,3511.755371,b'N',8607.298828,b'W',253.7,0
87,3511.755127,b'N',8607.298828,b'W',253.7,0
88,3511.755127,b'N',8607.298828,b'W',253.7,0
89,3511.755127,b'N',8607.298828,b'W',253.7,0
90,3511.755127,b'N',8607.298828,b'W',253.7,0
91,3511.755127,b'N',8607.298828,b'W',253.7,0
92,3511.755127,b'N',8607.298828,b'W',253.7,0
93,3511.755127,b'N',8607.298828,b'W',253.7,1
94,3511.755371,b'N',8607.298828,b'W',253.7,0
95,3511.755615,b'N',8607.298828,b'W',253.7,0
96,3511.755859,b'N',8607.298828,b'W',253.7,0
97,3511.755859,b'N',8607.298828,b'W',253.7,0
98,3511.755859,b'N',8607.299805,b'W',253.7,0
99,3511.756104,b'N',8607.298828,b'W',253.7,0
100,3511.756104,b'N',8607.298828,b'W',253.7,0
101,3511.756592,b'N',8607.299805,b'W',253.7,2
102,3511.756836,b'N',8607.299805,b'W',253.7,2
103,3511.757080,b'N',8607.299805,b'W',253.7,0
104,3511.757080,b'N',8607.299805,b'W',253.7,0
105,3511.757080,b'N',8607.299805,b'W',253.7,0
106,3511.757324,b'N',8607.299805,b'W',253.7,0
107,3511.757813,b'N',8607.299805,b'W',253.7,3
108,3511.757813,b'N',8607.299805,b'W',253.6,3
109,3511.757813,b'N',8607.298828,b'W',253.6,0
110,3511.758057,b'N',8607.298828,b'W',253.6,0
111,3511.758057,b'N',8607.298828,b'W',253.6,0
112,3511.758057,b'N',8607.298828,b'W',253.6,0
113,3511.758057,b'N',8607.298828,b'W',253.6,0
114,3511.758057,b'N',8607.298828,b'W',253.7,0
115,3511.758057,b'N',8607.298828,b'W',253.7,0
116,3511.758301,b'N',8607.298828,b'W',253.7,0
117,3511.758057,b'N',8607.298828,b'W',253.7,0
118,3511.758057,b'N',8607.298828,b'W',253.7,0
119,3511.758301,b'N',8607.298828,b'W',253.7,0
120,3511.758057,b'N',8607.298828,b'W',253.7,0
121,3511.758057,b'N',8607.298828,b'W',253.7,0
122,3511.758057,b'N',8607.298828,b'W',253.7,0
123,3511.758057,b'N',8607.298828,b'W',253.7,0
124,3511.758301,b'N',8607.298828,b'W',253.8,0
125,3511.758301,b'N',8607.298828,b'W',253.8,0
126,3511.758301,b'N',8607.299805,b'W',253.8,0
127,3511.758057,b'N',8607.299805,b'W',253.8,0
128,3511.758057,b'N',8607.299805,b'W',253.8,0
129,3511.758301,b'N',8607.299805,b'W',253.8,0
130,3511.758301,b'N',8607.299805,b'W',253.8,0
131,3511.758301,b'N',8607.299805,b'W',253.8,0
132,3511.758301,b'N',8607.299805,b'W',253.8,0
133,3511.758301,b'N',8607.299805,b'W',253.8,0
134,3511.758301,b'N',8607.298828,b'W',253.8,0
135,3511.758545,b'N',8607.298828,b'W',253.8,0
136,3511.758545,b'N',8607.298828,b'W',253.8,0
137,3511.758545,b'N',8607.298828,b'W',253.8,0
138,3511.758545,b'N',8607.298828,b'W',253.9,0
139,3511.758545,b'N',8607.298828,b'W',253.9,0
140,3511.758545,b'N',8607.298828,b'W',253.9,0
141,3511.758545,b'N',8607.298828,b'W',253.9,0
142,3511.758545,b'N',8607.298828,b'W',253.9,0
143,3511.758545,b'N',8607.299805,b'W',253.9,0
144,3511.758545,b'N',8607.299805,b'W',253.9,0
145,3511.758545,b'N',8607.299805,b'W',253.9,0
146,3511.758545,b'N',8607.299805,b'W',253.9,0
147,3511.758301,b'N',8607.299805,b'W',253.9,0
148,3511.758545,b'N',8607.299805,b'W',253.9,0
149,3511.758545,b'N',8607.299805,b'W',253.9,0
150,3511.758545,b'N',8607.299805,b'W',253.9,0
151,3511.758789,b'N',8607.299805,b'W',253.9,0
152,3511.758789,b'N',8607.299805,b'W',253.9,0
153,3511.758789,b'N',8607.299805,b'W',253.9,0
154,3511.758789,b'N',8607.299805,b'W',253.9,0
155,3511.758789,b'N',8607.299805,b'W',253.9,0
156,3511.758789,b'N',8607.299805,b'W',253.9,0
157,3511.758789,b'N',8607.299805,b'W',253.9,0
158,3511.758789,b'N',8607.299805,b'W',253.9,0
159,3511.758789,b'N',8607.299805,b'W',253.9,0
160,3511.759033,b'N',8607.299805,b'W',253.9,0
161,3511.759033,b'N',8607.299805,b'W',253.9,0
162,3511.759033,b'N',8607.299805,b'W',253.9,0
163,3511.759033,b'N',8607.299805,b'W',253.9,0
164,3511.759033,b'N',8607.299805,b'W',253.9,0
165,3511.759033,b'N',8607.299805,b'W',253.9,0
166,3511.759033,b'N',8607.299805,b'W',253.9,0
167,3511.758789,b'N',8607.299805,b'W',253.9,0
168,3511.758789,b'N',8607.299805,b'W',253.9,0
169,3511.758789,b'N',8607.299805,b'W',253.9,0
170,3511.758789,b'N',8607.299805,b'W',253.9,0
171,3511.758789,b'N',8607.299805,b'W',253.9,0
172,3511.758789,b'N',8607.299805,b'W',253.9,0
173,3511.758545,b'N',8607.299805,b'W',253.9,0
174,3511.758545,b'N',8607.299805,b'W',253.9,0
175,3511.758545,b'N',8607.299805,b'W',253.9,0
176,3511.758545,b'N',8607.299805,b'W',253.9,0
177,3511.758545,b'N',8607.299805,b'W',253.9,0
178,3511.758789,b'N',8607.299805,b'W',253.9,0
179,3511.758789,b'N',8607.299805,b'W',253.9,0
180,3511.759033,b'N',8607.299805,b'W',253.8,0
181,3511.759277,b'N',8607.299805,b'W',253.9,0
182,3511.759277,b'N',8607.299805,b'W',253.8,0
183,3511.759521,b'N',8607.299805,b'W',253.8,0
184,3511.759521,b'N',8607.298828,b'W',253.8,0
185,3511.760010,b'N',8607.298828,b'W',253.8,0
186,3511.760010,b'N',8607.298828,b'W',253.8,0
187,3511.759766,b'N',8607.298828,b'W',253.8,0
188,3511.759766,b'N',8607.299805,b'W',253.9,0
189,3511.759766,b'N',8607.299805,b'W',253.9,0
190,3511.759766,b'N',8607.299805,b'W',253.9,0
191,3511.759766,b'N',8607.298828,b'W',253.9,0
192,3511.759766,b'N',8607.298828,b'W',253.9,0
193,3511.759766,b'N',8607.298828,b'W',253.9,0
194,3511.759766,b'N',8607.298828,b'W',253.9,0
195,3511.759766,b'N',8607.298828,b'W',253.9,0
196,3511.759766,b'N',8607.298828,b'W',253.9,0
197,3511.760010,b'N',8607.298828,b'W',254.0,0
198,3511.760010,b'N',8607.298828,b'W',254.0,0
199,3511.760010,b'N',8607.298828,b'W',254.0,0
200,3511.759766,b'N',8607.299805,b'W',254.0,0
201,3511.760010,b'N',8607.299805,b'W',254.0,0
202,3511.760010,b'N',8607.299805,b'W',254.0,0
203,3511.760010,b'N',8607.299805,b'W',254.0,0
204,3511.760254,b'N',8607.299805,b'W',254.0,0
205,3511.760254,b'N',8607.299805,b'W',254.0,0
206,3511.760254,b'N',8607.298828,b'W',254.0,0
207,3511.760254,b'N',8607.298828,b'W',254.0,0
208,3511.760498,b'N',8607.298828,b'W',254.0,0
209,3511.760498,b'N',8607.298828,b'W',254.0,0
210,3511.760498,b'N',8607.298828,b'W',254.0,0
211,3511.760254,b'N',8607.299805,b'W',254.1,0
212,3511.760254,b'N',8607.299805,b'W',254.1,0
213,3511.760254,b'N',8607.298828,b'W',254.1,0
214,3511.760254,b'N',8607.299805,b'W',254.1,0
215,3511.760010,b'N',8607.299805,b'W',254.1,0
216,3511.760254,b'N',8607.299805,b'W',254.1,0
217,3511.760254,b'N',8607.299805,b'W',254.1,0
218,3511.760010,b'N',8607.299805,b'W',254.1,0
219,3511.760254,b'N',8607.299805,b'W',254.1,0
220,3511.760254,b'N',8607.299805,b'W',254.1,0
221,3511.760254,b'N',8607.299805,b'W',254.1,0
222,3511.760254,b'N',8607.299805,b'W',254.1,0
223,3511.760498,b'N',8607.299805,b'W',254.1,0
224,3511.760498,b'N',8607.299805,b'W',254.1,0
225,3511.760498,b'N',8607.299805,b'W',254.1,0
226,3511.760498,b'N',8607.299805,b'W',254.1,0
227,3511.760498,b'N',8607.299805,b'W',254.1,0
228,3511.760498,b'N',8607.299805,b'W',254.1,0
229,3511.760498,b'N',8607.299805,b'W',254.1,0
230,3511.760498,b'N',8607.299805,b'W',254.2,0
231,3511.760742,b'N',8607.299805,b'W',254.2,0
232,3511.760498,b'N',8607.299805,b'W',254.2,0
233,3511.760498,b'N',8607.298828,b'W',254.2,0
234,3511.760498,b'N',8607.298828,b'W',254.2,0
235,3511.760498,b'N',8607.298828,b'W',254.2,0
236,3511.760498,b'N',8607.298828,b'W',254.2,0
237,3511.760498,b'N',8607.298828,b'W',254.2,0
238,3511.760498,b'N',8607.298828,b'W',254.2,0
239,3511.760498,b'N',8607.298828,b'W',254.1,0
240,3511.760498,b'N',8607.298828,b'W',254.1,0
241,3511.760498,b'N',8607.298828,b'W',254.2,0
242,3511.760498,b'N',8607.298828,b'W',254.2,0
243,3511.760498,b'N',8607.298828,b'W',254.2,0
244,3511.760498,b'N',8607.298828,b'W',254.2,0
245,3511.760498,b'N',8607.298828,b'W',254.2,0
246,3511.760498,b'N',8607.298828,b'W',254.3,0
247,3511.760498,b'N',8607.298828,b'W',254.3,0
248,3511.760498,b'N',8607.298828,b'W',254.4,0
249,3511.760498,b'N',8607.298828,b'W',254.3,0
250,3511.760498,b'N',8607.298828,b'W',254.3,0
251,3511.760498,b'N',8607.298828,b'W',254.4,0
252,3511.760498,b'N',8607.298828,b'W',254.4,0
253,3511.760498,b'N',8607.298828,b'W',254.4,0
254,3511.760498,b'N',8607.298828,b'W',254.4,0
255,3511.760498,b'N',8607.298828,b'W',254.4,0
256,3511.760498,b'N',8607.298828,b'W',254.4,0
257,3511.760498,b'N',8607.298828,b'W',254.3,0
258,3511.760254,b'N',8607.298828,b'W',254.3,0
259,3511.760254,b'N',8607.298828,b'W',254.3,0
260,3511.760254,b'N',8607.298828,b'W',254.4,0
261,3511.760254,b'N',8607.298828,b'W',254.4,0
262,3511.760254,b'N',8607.298828,b'W',254.4,0
263,3511.760254,b'N',8607.298828,b'W',254.4,0
264,3511.760498,b'N',8607.298828,b'W',254.4,0
265,3511.760498,b'N',8607.298828,b'W',254.4,0
266,3511.760498,b'N',8607.298828,b'W',254.4,0
267,3511.760742,b'N',8607.298828,b'W',254.4,0
268,3511.760742,b'N',8607.298828,b'W',254.5,0
269,3511.760498,b'N',8607.298828,b'W',254.5,0
270,3511.760742,b'N',8607.298828,b'W',254.5,0
271,3511.760742,b'N',8607.298828,b'W',254.5,0
272,3511.760498,b'N',8607.298828,b'W',254.5,0
273,3511.760742,b'N',8607.298828,b'W',254.4,0
274,3511.760742,b'N',8607.298828,b'W',254.4,0
275,3511.760742,b'N',8607.298828,b'W',254.4,0
276,3511.760742,b'N',8607.298828,b'W',254.4,0
277,3511.760742,b'N',8607.298828,b'W',254.4,0
278,3511.760742,b'N',8607.298828,b'W',254.4,0
279,3511.760742,b'N',8607.298828,b'W',254.4,0
280,3511.760742,b'N',8607.298828,b'W',254.4,0
281,3511.760742,b'N',8607.298828,b'W',254.4,0
282,3511.760742,b'N',8607.298828,b'W',254.5,0
283,3511.760742,b'N',8607.298828,b'W',254.5,0
284,3511.760742,b'N',8607.298828,b'W',254.5,0
285,3511.760742,b'N',8607.298828,b'W',254.5,0
286,3511.760986,b'N',8607.298828,b'W',254.5,0
287,3511.760742,b'N',8607.298828,b'W',254.5,0
288,3511.760742,b'N',8607.298828,b'W',254.5,0
289,3511.760742,b'N',8607.298828,b'W',254.5,0
290,3511.760742,b'N',8607.298828,b'W',254.5,0
291,3511.760498,b'N',8607.299805,b'W',254.5,0
